Q,CC,MaxCC
0,1000000,1
0.001,998044,3
0.002,996032,3
0.003,993993,3
0.004,991980,3
0.005,990181,4
0.006,988145,4
0.007,986103,5
0.008,984147,4
0.009,981933,5
0.01,979740,5
0.011,978016,6
0.012,975997,5
0.013,973879,5
0.014,971846,5
0.015,970021,5
0.016,968172,6
0.017,965818,6
0.018,964231,6
0.019,962294,6
0.02,960039,6
0.021,957907,6
0.022,956256,6
0.023,954387,6
0.024,952385,6
0.025,950287,5
0.026,947837,6
0.027,946357,7
0.028,944422,5
0.029,942104,7
0.03,939719,6
0.031,937987,8
0.032,935786,7
0.033,934199,6
0.034,931940,8
0.035,929802,7
0.036,928141,7
0.037,925917,8
0.038,924336,8
0.039,922637,7
0.04,919899,8
0.041,917845,7
0.042,916107,8
0.043,914050,8
0.044,912052,9
0.045,910358,8
0.046,907758,9
0.047,905770,9
0.048,904193,8
0.049,902395,8
0.05,900485,9
0.051,897915,8
0.052,896588,8
0.053,894068,8
0.054,892347,11
0.055,889980,9
0.056,888226,9
0.057,885934,9
0.058,883804,9
0.059,882742,9
0.06,880200,8
0.061,877778,9
0.062,875557,10
0.063,874594,13
0.064,871867,9
0.065,870517,9
0.066,868082,12
0.067,865810,10
0.068,863753,9
0.069,861970,10
0.07,859755,10
0.071,857938,11
0.072,855975,10
0.073,854294,10
0.074,852558,12
0.075,850552,11
0.076,848726,11
0.077,846124,10
0.078,844071,11
0.079,842287,11
0.08,839873,13
0.081,838111,12
0.082,836359,12
0.083,833998,14
0.084,831404,13
0.085,830194,12
0.086,828261,12
0.087,826026,12
0.088,824195,12
0.089,821969,13
0.09,821286,15
0.091,818534,10
0.092,815907,17
0.093,813664,14
0.094,812267,13
0.095,810693,11
0.096,807837,12
0.097,805630,14
0.098,804603,15
0.099,802279,15
0.1,800866,14
0.101,799065,14
0.102,796538,12
0.103,794993,16
0.104,792251,15
0.105,790930,13
0.106,788004,13
0.107,786392,14
0.108,785112,12
0.109,781771,14
0.11,780544,14
0.111,778307,14
0.112,775885,13
0.113,774715,15
0.114,772494,15
0.115,770430,16
0.116,768748,14
0.117,766317,15
0.118,764270,15
0.119,763185,22
0.12,760046,16
0.121,758638,19
0.122,756090,16
0.123,753423,18
0.124,752062,20
0.125,750798,17
0.126,747579,17
0.127,746364,21
0.128,745240,15
0.129,742072,16
0.13,740056,19
0.131,738399,18
0.132,736393,18
0.133,735085,19
0.134,732564,20
0.135,731440,24
0.136,729065,19
0.137,726928,25
0.138,724909,17
0.139,722333,17
0.14,720510,19
0.141,717427,18
0.142,716530,21
0.143,715018,20
0.144,713690,20
0.145,710061,19
0.146,709420,21
0.147,706141,19
0.148,703935,18
0.149,702330,20
0.15,700246,20
0.151,698292,23
0.152,697671,19
0.153,695197,22
0.154,692958,27
0.155,690860,21
0.156,689111,19
0.157,687193,32
0.158,685623,23
0.159,682241,25
0.16,681225,22
0.161,679257,22
0.162,676681,27
0.163,674350,21
0.164,673323,27
0.165,670038,23
0.166,668274,30
0.167,667128,24
0.168,665451,27
0.169,662760,21
0.17,662055,24
0.171,659310,22
0.172,656726,24
0.173,654994,27
0.174,652928,26
0.175,650662,26
0.176,650820,26
0.177,647081,24
0.178,645305,28
0.179,643870,26
0.18,641124,22
0.181,639783,25
0.182,638164,29
0.183,635531,28
0.184,633040,29
0.185,630594,25
0.186,629259,28
0.187,628148,33
0.188,626451,34
0.189,624206,40
0.19,621701,25
0.191,620743,27
0.192,617529,26
0.193,615526,26
0.194,614003,30
0.195,611581,29
0.196,611231,32
0.197,607200,29
0.198,606586,30
0.199,604169,34
0.2,601645,33
0.201,600078,42
0.202,598045,42
0.203,596048,32
0.204,595297,39
0.205,592959,28
0.206,589860,35
0.207,588528,31
0.208,586321,46
0.209,583874,29
0.21,583098,30
0.211,580274,36
0.212,578679,32
0.213,576862,33
0.214,574121,32
0.215,572859,33
0.216,570858,38
0.217,567954,37
0.218,566210,34
0.219,565178,38
0.22,563453,40
0.221,560885,41
0.222,559078,32
0.223,558219,53
0.224,554495,37
0.225,554843,32
0.226,551052,41
0.227,549306,41
0.228,547176,46
0.229,545888,36
0.23,542091,44
0.231,541526,43
0.232,540323,47
0.233,537646,40
0.234,535478,45
0.235,534187,55
0.236,532148,53
0.237,529212,42
0.238,528418,40
0.239,526589,44
0.24,523561,53
0.241,522105,39
0.242,518298,48
0.243,518473,50
0.244,516578,45
0.245,514784,48
0.246,512589,45
0.247,510821,46
0.248,508619,55
0.249,506738,55
0.25,504466,54
0.251,502493,59
0.252,500918,52
0.253,499489,58
