Q,CC,MaxCC
0,0,0
0.001,957,2
0.002,2021,2
0.003,3002,2
0.004,3910,3
0.005,4861,2
0.006,5860,3
0.007,6966,3
0.008,7874,3
0.009,8953,3
0.01,9764,3
0.011,10893,3
0.012,11699,3
0.013,12751,3
0.014,13587,3
0.015,14490,3
0.016,15556,3
0.017,16504,3
0.018,17410,4
0.019,18108,4
0.02,19321,4
0.021,20083,4
0.022,20889,4
0.023,22028,4
0.024,22999,5
0.025,23616,4
0.026,24579,5
0.027,25637,5
0.028,26464,4
0.029,27224,5
0.03,28310,5
0.031,28919,5
0.032,30201,5
0.033,30857,5
0.034,31690,4
0.035,32536,5
0.036,33449,5
0.037,34296,5
0.038,34988,6
0.039,35954,5
0.04,36759,6
0.041,37608,5
0.042,38305,5
0.043,39259,6
0.044,40102,6
0.045,40602,5
0.046,41957,6
0.047,42541,5
0.048,43240,6
0.049,44284,6
0.05,45002,7
0.051,45802,7
0.052,46895,7
0.053,47605,7
0.054,48028,6
0.055,49156,6
0.056,49575,7
0.057,50515,6
0.058,51223,7
0.059,52199,8
0.06,52761,8
0.061,53499,7
0.062,54383,6
0.063,55148,6
0.064,55794,7
0.065,56365,8
0.066,57509,7
0.067,58247,7
0.068,58827,9
0.069,59542,6
0.07,60909,10
0.071,60715,7
0.072,61678,10
0.073,62095,8
0.074,63507,8
0.075,63804,8
0.076,64656,8
0.077,65241,9
0.078,65780,8
0.079,66260,9
0.08,66895,10
0.081,68193,8
0.082,68545,8
0.083,69283,7
0.084,69432,8
0.085,70834,9
0.086,70976,8
0.087,71805,9
0.088,72469,9
0.089,73221,9
0.09,73977,8
0.091,74543,10
0.092,75234,10
0.093,75943,13
0.094,76196,9
0.095,77208,9
0.096,77512,11
0.097,78022,9
0.098,78916,11
0.099,79314,10
0.1,79954,11
0.101,81182,12
0.102,81082,11
0.103,81632,10
0.104,82824,10
0.105,83012,13
0.106,83781,9
0.107,84446,9
0.108,84830,13
0.109,85479,11
0.11,86032,12
0.111,86287,12
0.112,87053,9
0.113,87486,11
0.114,88220,11
0.115,89017,10
0.116,89441,14
0.117,90338,12
0.118,90694,11
