Valor,Indice
0,0
0.001,254
0.002,486
0.003,762
0.004,1046
0.005,1237
0.006,1524
0.007,1689
0.008,1959
0.009,2140
0.01,2438
0.011,2615
0.012,2811
0.013,3187
0.014,3430
0.015,3569
0.016,3898
0.017,4029
0.018,4188
0.019,4571
0.02,4740
0.021,5050
0.022,5247
0.023,5406
0.024,5786
0.025,6075
0.026,6138
0.027,6140
0.028,6616
0.029,6833
0.03,6989
0.031,7298
0.032,7514
0.033,7615
0.034,7900
0.035,8204
0.036,8353
0.037,8366
0.038,8717
0.039,8884
0.04,9069
0.041,9459
0.042,9541
0.043,9902
0.044,10034
0.045,10289
0.046,10432
0.047,10647
0.048,10894
0.049,11090
0.05,11369
0.051,11436
0.052,11827
0.053,11876
0.054,11901
0.055,12254
0.056,12578
0.057,12551
0.058,12779
0.059,13089
0.06,13232
0.061,13440
0.062,13647
0.063,13748
0.064,13898
0.065,14278
0.066,14330
0.067,14491
0.068,14748
0.069,14948
0.07,14833
0.071,15169
0.072,15430
0.073,15557
0.074,15800
0.075,15835
0.076,16227
0.077,16284
0.078,16576
0.079,16560
0.08,16805
0.081,16758
0.082,17166
0.083,17424
0.084,17467
0.085,17737
0.086,17876
0.087,18185
0.088,18138
0.089,18197
0.09,18495
0.091,18730
0.092,18810
0.093,19158
0.094,18994
0.095,19146
0.096,19388
0.097,19600
0.098,19750
0.099,20127
0.1,19923
0.101,20110
0.102,20262
0.103,20604
0.104,20517
0.105,20742
0.106,20877
0.107,21051
0.108,21224
0.109,21095
0.11,21533
0.111,21727
0.112,21808
0.113,21748
0.114,21966
0.115,22327
0.116,22266
0.117,22378
0.118,22381
0.119,22796
0.12,22788
0.121,23034
0.122,23127
0.123,23294
0.124,23352
0.125,23479
0.126,23754
0.127,23850
0.128,23898
0.129,23926
0.13,24114
0.131,24354
0.132,24282
0.133,24671
0.134,24591
0.135,24710
0.136,24879
0.137,24923
0.138,25184
0.139,25209
0.14,25301
0.141,25223
0.142,25580
0.143,25538
0.144,25671
0.145,25916
0.146,25948
0.147,26104
0.148,26220
0.149,26178
0.15,26378
0.151,26598
0.152,26419
0.153,26594
0.154,26963
0.155,26854
0.156,27014
0.157,26952
0.158,27281
0.159,27428
0.16,27482
0.161,27635
0.162,27420
0.163,27586
0.164,27659
0.165,27883
0.166,27950
0.167,27895
0.168,28252
0.169,28139
0.17,28193
0.171,28528
0.172,28543
0.173,28398
0.174,28604
0.175,28629
0.176,28738
0.177,28852
0.178,28902
0.179,29093
0.18,29142
0.181,29124
0.182,29058
0.183,29290
0.184,29186
0.185,29506
0.186,29488
0.187,29749
0.188,29684
0.189,29746
0.19,29812
0.191,29900
0.192,29865
0.193,29884
0.194,29905
0.195,30025
0.196,30160
0.197,30160
0.198,30285
0.199,30315
0.2,30200
0.201,30559
0.202,30631
0.203,30595
0.204,30883
0.205,30561
0.206,30853
0.207,30800
0.208,30938
0.209,30830
0.21,30980
0.211,30836
0.212,30982
0.213,31202
0.214,31081
0.215,31083
0.216,31497
0.217,31185
0.218,31490
0.219,31541
0.22,31432
0.221,31383
0.222,31366
0.223,31562
0.224,31616
0.225,31731
0.226,31556
0.227,31693
0.228,31586
0.229,31823
0.23,31685
0.231,32151
0.232,31864
0.233,32108
0.234,31851
0.235,31999
0.236,31958
0.237,31865
0.238,31942
0.239,32169
0.24,32214
0.241,32033
0.242,31887
0.243,32027
0.244,32321
0.245,32250
0.246,32406
0.247,32277
0.248,32417
0.249,32186
0.25,32187
0.251,32121
0.252,32245
0.253,32345
0.254,32149
0.255,32475
0.256,32218
0.257,32237
0.258,32470
0.259,32194
0.26,32350
0.261,32243
0.262,32300
0.263,32240
0.264,32470
0.265,32606
0.266,32480
0.267,32418
0.268,32328
0.269,32508
0.27,32485
0.271,32514
0.272,32298
0.273,32450
0.274,32602
0.275,32583
0.276,32361
0.277,32545
0.278,32476
0.279,32605
0.28,32369
0.281,32399
0.282,32464
0.283,32405
0.284,32496
0.285,32259
0.286,32422
0.287,32501
0.288,32458
0.289,32142
0.29,32220
0.291,32418
0.292,32290
0.293,32389
0.294,32090
0.295,32162
0.296,32280
0.297,32221
0.298,32293
0.299,32024
0.3,32146
0.301,32211
0.302,31960
0.303,32127
0.304,32147
0.305,31934
0.306,32036
0.307,32103
0.308,31904
0.309,31813
0.31,31951
0.311,31885
0.312,31620
0.313,31820
0.314,31668
0.315,31701
0.316,31740
0.317,31806
0.318,31647
0.319,31461
0.32,31422
0.321,31475
0.322,31483
0.323,31494
0.324,31393
0.325,31469
0.326,31075
0.327,31192
0.328,31383
0.329,31111
0.33,31073
0.331,31156
0.332,30993
0.333,30976
0.334,31028
0.335,30947
0.336,30977
0.337,31058
0.338,30681
0.339,30433
0.34,30840
0.341,30684
0.342,30656
0.343,30409
0.344,30431
0.345,30533
0.346,30260
0.347,30482
0.348,30010
0.349,30181
0.35,30290
0.351,30163
0.352,29832
0.353,30055
0.354,30061
0.355,30093
0.356,29891
0.357,29753
0.358,29550
0.359,29805
0.36,29538
0.361,29417
0.362,29477
0.363,29566
0.364,29227
0.365,29147
0.366,29054
0.367,28954
0.368,29104
0.369,28928
0.37,28922
0.371,28793
0.372,28876
0.373,28578
0.374,28441
0.375,28558
0.376,28603
0.377,28480
0.378,28554
0.379,28057
0.38,28074
0.381,28340
0.382,28389
0.383,27624
0.384,27829
0.385,27696
0.386,27526
0.387,27661
0.388,27631
0.389,27621
0.39,27494
0.391,27454
0.392,27320
0.393,27370
0.394,27485
0.395,27263
0.396,26747
0.397,26827
0.398,26990
