Valor,Indice
0,2500
0.001,2496
0.002,2484
0.003,2482
0.004,2476
0.005,2477
0.006,2479
0.007,2456
0.008,2465
0.009,2438
0.01,2463
0.011,2452
0.012,2440
0.013,2424
0.014,2429
0.015,2428
0.016,2430
0.017,2422
0.018,2418
0.019,2401
0.02,2388
0.021,2387
0.022,2384
0.023,2360
0.024,2379
0.025,2385
0.026,2375
0.027,2380
0.028,2349
0.029,2352
0.03,2351
0.031,2343
0.032,2339
0.033,2322
0.034,2294
0.035,2318
0.036,2323
0.037,2296
0.038,2322
0.039,2303
0.04,2299
0.041,2306
0.042,2291
0.043,2300
0.044,2290
0.045,2280
0.046,2306
0.047,2285
0.048,2276
0.049,2267
0.05,2269
0.051,2265
0.052,2212
0.053,2231
0.054,2232
0.055,2228
0.056,2212
0.057,2242
0.058,2241
0.059,2234
0.06,2175
0.061,2173
0.062,2201
0.063,2195
0.064,2203
0.065,2202
0.066,2181
0.067,2163
0.068,2168
0.069,2123
0.07,2162
0.071,2125
0.072,2163
0.073,2153
0.074,2125
0.075,2122
0.076,2083
0.077,2109
0.078,2121
0.079,2097
0.08,2104
0.081,2083
0.082,2097
0.083,2100
0.084,2138
0.085,2090
0.086,2059
0.087,2071
0.088,2080
0.089,2068
0.09,2057
0.091,2049
0.092,2058
0.093,2065
0.094,2005
0.095,2041
0.096,2023
0.097,2026
0.098,1991
0.099,1982
0.1,1999
0.101,2009
0.102,2013
0.103,2026
0.104,1987
0.105,1991
0.106,1992
0.107,1996
0.108,1965
0.109,1970
0.11,2003
0.111,1959
0.112,1904
0.113,1974
0.114,1916
0.115,1945
0.116,1958
0.117,1950
0.118,1915
0.119,1979
0.12,1952
0.121,1947
0.122,1899
0.123,1873
0.124,1890
0.125,1928
0.126,1899
0.127,1884
0.128,1874
0.129,1824
0.13,1880
0.131,1842
0.132,1831
0.133,1871
0.134,1831
0.135,1878
0.136,1827
0.137,1854
0.138,1814
0.139,1808
0.14,1792
0.141,1841
0.142,1825
0.143,1771
0.144,1802
0.145,1755
0.146,1771
0.147,1750
0.148,1778
0.149,1755
0.15,1776
0.151,1740
0.152,1815
0.153,1785
0.154,1696
0.155,1778
0.156,1763
0.157,1746
0.158,1676
0.159,1741
0.16,1732
0.161,1736
0.162,1710
0.163,1635
0.164,1727
0.165,1690
0.166,1676
0.167,1715
0.168,1672
0.169,1700
0.17,1679
0.171,1686
0.172,1681
0.173,1648
0.174,1641
0.175,1657
0.176,1621
0.177,1625
0.178,1634
0.179,1615
0.18,1631
0.181,1617
0.182,1573
0.183,1637
0.184,1599
0.185,1592
0.186,1623
0.187,1525
0.188,1608
0.189,1625
0.19,1578
0.191,1597
0.192,1516
0.193,1580
0.194,1586
0.195,1554
0.196,1606
0.197,1491
0.198,1523
0.199,1466
0.2,1545
0.201,1496
0.202,1526
0.203,1497
0.204,1472
0.205,1510
0.206,1451
0.207,1464
0.208,1478
0.209,1474
0.21,1475
0.211,1464
0.212,1475
0.213,1449
0.214,1429
0.215,1420
0.216,1422
0.217,1473
0.218,1432
0.219,1372
0.22,1441
0.221,1418
0.222,1419
0.223,1434
0.224,1448
0.225,1450
0.226,1395
0.227,1414
0.228,1379
0.229,1360
0.23,1406
0.231,1384
0.232,1373
0.233,1340
0.234,1349
0.235,1340
0.236,1328
0.237,1351
0.238,1386
0.239,1369
0.24,1388
0.241,1371
0.242,1319
0.243,1288
0.244,1275
0.245,1300
0.246,1326
0.247,1266
0.248,1300
0.249,1284
0.25,1331
0.251,1238
0.252,1270
0.253,1343
0.254,1293
0.255,1278
0.256,1303
0.257,1314
0.258,1196
0.259,1230
0.26,1306
0.261,1218
0.262,1234
0.263,1224
0.264,1237
0.265,1224
0.266,1219
0.267,1250
0.268,1181
0.269,1206
0.27,1188
0.271,1181
0.272,1150
0.273,1177
0.274,1174
0.275,1188
0.276,1188
0.277,1222
0.278,1160
0.279,1089
0.28,1217
0.281,1136
0.282,1152
0.283,1131
0.284,1118
0.285,1118
0.286,1104
0.287,1104
0.288,1098
0.289,1127
0.29,1117
0.291,1097
0.292,1095
0.293,1091
0.294,1071
0.295,1124
0.296,1016
0.297,1123
0.298,1057
0.299,1038
0.3,1047
0.301,1045
0.302,1066
0.303,1032
0.304,985
0.305,1052
0.306,1035
0.307,1026
0.308,1011
0.309,987
0.31,950
0.311,1002
0.312,982
0.313,1006
0.314,1016
0.315,1021
0.316,1007
0.317,939
0.318,977
0.319,949
0.32,1032
0.321,970
0.322,921
0.323,1003
0.324,954
0.325,943
0.326,992
0.327,948
0.328,918
0.329,886
0.33,945
0.331,894
0.332,936
0.333,908
0.334,924
0.335,869
0.336,895
0.337,887
0.338,905
0.339,878
0.34,879
0.341,880
0.342,841
0.343,843
0.344,846
0.345,832
0.346,847
0.347,853
0.348,836
0.349,827
0.35,836
0.351,810
0.352,851
0.353,875
0.354,804
0.355,774
0.356,856
0.357,833
0.358,795
0.359,764
0.36,782
0.361,767
0.362,787
0.363,795
0.364,795
0.365,764
0.366,759
0.367,754
0.368,735
0.369,719
0.37,736
0.371,752
0.372,765
0.373,701
0.374,751
0.375,746
0.376,767
0.377,718
0.378,738
0.379,661
0.38,700
0.381,658
0.382,685
0.383,697
0.384,682
0.385,679
0.386,686
0.387,648
0.388,622
0.389,682
0.39,677
0.391,643
0.392,661
0.393,652
0.394,677
0.395,670
0.396,645
0.397,700
0.398,590
0.399,598
0.4,637
0.401,627
0.402,648
0.403,635
0.404,613
0.405,662
0.406,558
0.407,608
0.408,622
0.409,621
0.41,545
0.411,608
0.412,572
0.413,576
0.414,534
0.415,580
0.416,523
0.417,543
0.418,555
0.419,555
0.42,549
0.421,513
0.422,509
0.423,535
0.424,530
0.425,535
0.426,495
0.427,533
0.428,565
0.429,534
0.43,508
0.431,498
0.432,518
0.433,497
0.434,525
0.435,467
0.436,371
0.437,541
0.438,443
0.439,515
0.44,476
0.441,373
0.442,473
0.443,449
0.444,473
0.445,442
0.446,440
0.447,496
0.448,498
0.449,453
0.45,414
0.451,401
0.452,438
0.453,425
0.454,400
0.455,436
0.456,424
0.457,413
0.458,417
0.459,419
0.46,386
0.461,427
0.462,409
0.463,397
0.464,390
0.465,362
0.466,359
0.467,400
0.468,372
0.469,381
0.47,452
0.471,383
0.472,386
0.473,381
0.474,316
0.475,344
0.476,349
0.477,332
0.478,335
0.479,301
0.48,331
0.481,344
0.482,326
0.483,343
0.484,317
0.485,302
0.486,297
0.487,284
0.488,326
0.489,306
0.49,320
0.491,317
0.492,352
