Q,CC,MaxCC
0,500500,1
0.001,499012,3
0.002,497485,3
0.003,496042,4
0.004,494587,4
0.005,492831,4
0.006,491525,4
0.007,490111,4
0.008,488596,4
0.009,486961,5
0.01,485320,5
0.011,484049,5
0.012,482694,6
0.013,481159,5
0.014,479441,5
0.015,478251,6
0.016,476259,6
0.017,474905,5
0.018,473408,7
0.019,472022,7
0.02,470554,6
0.021,469117,6
0.022,467710,7
0.023,465936,6
0.024,464505,7
0.025,463042,7
0.026,461604,7
0.027,459821,8
0.028,458514,7
0.029,457195,9
0.03,455583,8
0.031,454561,8
0.032,452646,9
0.033,451128,8
0.034,449558,8
0.035,448267,9
0.036,446702,9
0.037,444880,8
0.038,443547,10
0.039,441948,8
0.04,440639,10
0.041,438734,9
0.042,437448,9
0.043,436031,9
0.044,435034,9
0.045,432996,9
0.046,431523,11
0.047,430410,11
0.048,428664,10
0.049,426967,11
0.05,425874,10
0.051,424085,12
0.052,422316,11
0.053,421493,12
0.054,419549,11
0.055,418217,11
0.056,417110,12
0.057,415343,11
0.058,413111,14
0.059,412034,10
0.06,410862,13
0.061,409376,13
0.062,407833,11
0.063,405669,12
0.064,404697,12
0.065,403428,13
0.066,401487,17
0.067,400454,16
0.068,398876,14
0.069,397230,12
0.07,396015,14
0.071,393928,19
0.072,392967,14
0.073,391526,14
0.074,390022,16
0.075,388518,15
0.076,386981,20
0.077,385226,15
0.078,384246,17
0.079,383433,15
0.08,381214,13
0.081,379907,18
0.082,378667,14
0.083,377187,14
0.084,375273,19
0.085,373974,16
0.086,373045,25
0.087,371007,18
0.088,369643,18
0.089,368057,18
0.09,365875,16
0.091,365060,17
0.092,363427,16
0.093,362221,17
0.094,360429,19
0.095,359580,17
0.096,357228,20
0.097,356437,18
0.098,353789,21
0.099,353144,21
0.1,352232,22
0.101,349987,20
0.102,348544,19
0.103,347586,24
0.104,346035,22
0.105,344556,21
0.106,343483,26
0.107,341310,19
0.108,340121,25
0.109,338408,22
0.11,337669,25
0.111,336091,25
0.112,334392,30
0.113,332597,24
0.114,331588,23
0.115,330326,26
0.116,328350,25
0.117,326993,34
0.118,325172,25
0.119,323774,24
0.12,322375,31
0.121,320775,30
0.122,319576,24
0.123,318469,24
0.124,317235,26
0.125,315531,29
0.126,313941,30
0.127,313268,28
0.128,311264,29
