Q,CC,MaxCC
0,0,0
0.001,538,2
0.002,996,3
0.003,1531,2
0.004,1986,2
0.005,2483,2
0.006,2847,3
0.007,3472,3
0.008,3874,3
0.009,4293,3
0.01,4872,3
0.011,5437,3
0.012,5927,3
0.013,6427,3
0.014,6603,3
0.015,7032,3
0.016,7709,4
0.017,8075,3
0.018,8634,4
0.019,9074,4
0.02,9360,4
0.021,9935,4
0.022,10201,4
0.023,10667,4
0.024,11153,4
0.025,11541,5
0.026,12067,5
0.027,12348,5
0.028,12903,5
0.029,13230,5
0.03,13657,7
0.031,14117,4
0.032,14547,7
0.033,14930,6
0.034,15176,6
0.035,15525,5
0.036,16120,6
0.037,16475,6
0.038,16859,6
0.039,17183,7
0.04,17741,6
0.041,18204,7
0.042,18580,6
0.043,18830,5
0.044,19124,6
0.045,19673,6
0.046,20026,6
0.047,20274,7
0.048,20613,7
0.049,20889,6
0.05,21455,5
0.051,21813,7
0.052,22293,7
0.053,22407,7
0.054,22954,9
0.055,23145,7
0.056,23346,9
0.057,23991,8
0.058,23847,7
0.059,24456,10
0.06,24701,7
0.061,24850,6
0.062,25505,9
0.063,26010,8
0.064,25979,10
0.065,26750,8
0.066,26828,9
0.067,27205,9
0.068,27271,7
0.069,27826,9
0.07,27883,9
0.071,28434,8
0.072,28703,10
0.073,29125,10
0.074,29157,9
0.075,29435,10
0.076,29997,12
0.077,30064,10
0.078,30397,11
0.079,30943,9
0.08,30827,9
0.081,31501,11
0.082,31308,8
0.083,31979,9
0.084,31964,9
0.085,32408,10
0.086,32809,9
0.087,33156,15
0.088,32977,11
0.089,33468,10
0.09,33576,9
0.091,33609,16
0.092,33921,10
0.093,34199,9
0.094,34722,11
0.095,35078,11
0.096,35050,12
0.097,35198,12
0.098,35556,12
0.099,35618,10
0.1,36008,11
0.101,36039,11
0.102,36360,11
0.103,36734,11
0.104,37191,11
0.105,36870,10
0.106,37529,12
0.107,37350,12
0.108,37832,11
0.109,38024,12
0.11,38062,12
0.111,38371,17
0.112,38898,13
0.113,39089,15
0.114,38943,11
0.115,39225,14
0.116,39392,13
0.117,39738,13
0.118,39804,15
0.119,39979,15
0.12,39996,18
0.121,40303,12
0.122,40549,12
0.123,40737,15
0.124,40661,14
0.125,41064,12
0.126,41396,15
0.127,41483,15
0.128,41559,21
0.129,41852,15
0.13,41789,13
0.131,42112,14
0.132,42160,15
0.133,42395,17
0.134,42499,16
0.135,42746,16
0.136,42921,15
0.137,43069,15
0.138,43251,16
0.139,43308,16
0.14,43269,17
0.141,43481,24
0.142,43745,16
0.143,43973,17
0.144,43787,15
0.145,44033,14
0.146,44373,17
0.147,44554,17
0.148,44233,17
0.149,44515,18
0.15,44791,20
0.151,44801,20
0.152,44649,17
0.153,45186,17
0.154,45405,17
0.155,45255,18
0.156,45578,20
0.157,45591,17
0.158,45534,21
0.159,45313,17
0.16,45951,19
0.161,45872,19
0.162,46035,21
0.163,45889,19
0.164,46313,16
0.165,46350,20
0.166,46362,19
0.167,46561,18
0.168,46686,18
0.169,46633,20
0.17,46756,19
0.171,46839,22
0.172,47011,19
0.173,46992,21
0.174,47028,21
0.175,47110,20
0.176,47315,19
0.177,46999,21
0.178,46979,26
0.179,47422,21
0.18,47389,20
0.181,47602,25
0.182,47192,21
0.183,47544,20
0.184,47587,23
0.185,47318,22
0.186,47784,25
0.187,47774,23
0.188,47643,28
0.189,48077,21
0.19,47770,29
0.191,48088,31
0.192,48044,30
0.193,48139,34
0.194,47926,23
0.195,47655,24
0.196,48098,22
0.197,48113,24
0.198,48157,25
0.199,48185,27
0.2,48004,24
0.201,48219,23
0.202,48354,24
0.203,48350,25
0.204,48351,29
0.205,48365,30
0.206,48230,30
0.207,48517,34
0.208,48388,29
0.209,48297,30
0.21,48245,36
0.211,48142,29
0.212,48524,32
0.213,48496,27
0.214,48255,33
0.215,48188,36
0.216,48187,30
0.217,48346,29
0.218,48335,35
0.219,48158,33
0.22,48147,39
0.221,48050,41
0.222,48351,35
0.223,48109,36
0.224,48226,39
0.225,48317,37
0.226,48214,31
0.227,48164,35
0.228,47968,39
0.229,48028,40
0.23,47982,37
0.231,48311,30
0.232,47999,31
0.233,47930,37
0.234,47809,33
0.235,47762,32
0.236,48248,34
0.237,47865,46
0.238,47624,33
0.239,47573,38
0.24,47558,34
0.241,47577,32
0.242,47563,36
0.243,47443,40
0.244,47501,37
0.245,47457,38
0.246,47226,37
0.247,47312,49
0.248,47211,46
0.249,47216,39
0.25,47137,40
0.251,47146,50
0.252,47030,43
0.253,47063,38
0.254,47299,44
0.255,46885,45
0.256,46860,55
0.257,46630,41
0.258,46634,45
0.259,46674,50
0.26,46635,40
0.261,46158,54
0.262,46367,44
0.263,46578,49
0.264,46297,43
0.265,46386,58
0.266,46209,51
0.267,45970,54
0.268,45940,54
0.269,45886,74
0.27,46063,63
0.271,45621,54
0.272,45838,58
0.273,45324,64
0.274,45414,69
0.275,45393,56
0.276,44916,50
0.277,44842,60
0.278,44919,61
0.279,45079,64
0.28,44917,56
0.281,44870,70
0.282,44738,63
0.283,44478,64
0.284,44348,53
0.285,44337,64
0.286,44095,68
0.287,44155,62
0.288,43933,72
0.289,43881,68
0.29,43790,65
0.291,43483,71
0.292,43638,82
0.293,43576,77
0.294,42999,78
0.295,42890,63
0.296,43238,70
0.297,43146,69
0.298,42499,74
0.299,42799,74
0.3,42661,87
0.301,42684,62
0.302,42700,87
0.303,41949,73
0.304,41718,68
0.305,42168,108
0.306,41695,87
0.307,41790,102
0.308,41723,88
0.309,41416,79
0.31,41093,91
0.311,41224,77
0.312,40908,81
