Valor,Indice
0,500500
0.001,498913
0.002,497427
0.003,496008
0.004,494453
0.005,492938
0.006,491489
0.007,490029
0.008,488477
0.009,487018
0.01,485955
0.011,483964
0.012,482363
0.013,480831
0.014,479476
0.015,477907
0.016,476605
0.017,474958
0.018,473672
0.019,472015
0.02,470454
0.021,469194
0.022,467406
0.023,465964
0.024,464636
0.025,463028
0.026,461550
0.027,460285
0.028,458834
0.029,457138
0.03,455710
0.031,453988
0.032,452360
0.033,450723
0.034,449283
0.035,448041
0.036,446838
0.037,444834
0.038,443706
0.039,442330
0.04,440716
0.041,439095
0.042,437504
0.043,436351
0.044,434405
0.045,433236
0.046,431706
0.047,429756
0.048,429233
0.049,427218
0.05,425652
0.051,424384
0.052,422719
0.053,421614
0.054,419754
0.055,418231
0.056,417097
0.057,415558
0.058,414530
0.059,412765
0.06,411149
0.061,409203
0.062,407561
0.063,406396
0.064,405268
0.065,402985
0.066,402120
0.067,400234
0.068,398577
0.069,397339
0.07,395923
0.071,394183
0.072,393168
0.073,391323
0.074,390092
0.075,388935
0.076,387293
0.077,385568
0.078,384215
0.079,382789
0.08,381743
0.081,380052
0.082,378637
0.083,377192
0.084,375350
0.085,374105
0.086,372385
0.087,370864
0.088,368863
0.089,367877
0.09,365823
0.091,364326
0.092,363583
0.093,362101
0.094,360674
0.095,358772
0.096,357907
0.097,355891
0.098,355160
0.099,353037
0.1,351475
0.101,350852
0.102,348838
0.103,347064
0.104,346300
0.105,345148
0.106,342338
0.107,341304
0.108,340429
0.109,338639
0.11,337603
0.111,335339
0.112,334462
0.113,333037
0.114,331776
0.115,330295
0.116,328853
0.117,326594
0.118,325452
0.119,323600
0.12,323161
0.121,321605
0.122,320401
0.123,318180
0.124,317203
0.125,314986
0.126,313621
0.127,313239
0.128,311277
0.129,309907
0.13,308432
0.131,306876
0.132,305460
0.133,304113
0.134,301896
0.135,301034
0.136,299581
0.137,298755
0.138,297373
0.139,295177
0.14,294105
0.141,292897
0.142,290865
0.143,289819
0.144,288434
0.145,287571
0.146,285622
0.147,284589
0.148,282984
0.149,281820
0.15,280044
0.151,278327
0.152,276735
0.153,276502
0.154,275133
0.155,272527
0.156,272122
0.157,269850
0.158,268488
0.159,267068
0.16,266106
0.161,264125
0.162,263756
0.163,261426
0.164,260592
0.165,258288
0.166,258223
0.167,256098
0.168,254961
0.169,253989
0.17,252431
0.171,250563
0.172,249521
0.173,247849
0.174,247241
0.175,244847
0.176,243576
0.177,242510
0.178,240781
0.179,240122
0.18,238797
0.181,236420
0.182,234903
0.183,234353
0.184,233401
0.185,232003
0.186,229996
0.187,228848
0.188,228214
0.189,225921
0.19,224320
0.191,223986
0.192,221895
0.193,221069
0.194,219499
0.195,217719
0.196,217916
0.197,215593
0.198,214872
0.199,212840
0.2,211447
0.201,210584
0.202,209584
0.203,208460
0.204,206270
0.205,205690
0.206,203767
0.207,202223
0.208,201324
0.209,198995
0.21,198950
0.211,197208
0.212,196290
0.213,195162
0.214,193999
0.215,191133
0.216,191402
0.217,189448
0.218,187672
0.219,186761
0.22,185783
0.221,184828
0.222,183779
0.223,181721
0.224,181006
0.225,179414
0.226,178166
0.227,178019
0.228,175946
0.229,175484
0.23,174190
0.231,171897
0.232,170821
0.233,169076
0.234,168313
0.235,166739
0.236,166221
0.237,164895
0.238,163669
0.239,162431
0.24,161745
0.241,159781
0.242,158673
0.243,157522
0.244,156597
0.245,154541
0.246,154087
0.247,153034
0.248,151693
0.249,149924
0.25,149144
0.251,148127
0.252,146820
0.253,145349
0.254,145116
0.255,143480
0.256,142359
0.257,141484
0.258,140728
0.259,139307
0.26,137787
0.261,136208
0.262,135194
0.263,134868
0.264,132696
0.265,132078
0.266,130419
0.267,130248
0.268,128449
0.269,128039
0.27,126551
0.271,125656
0.272,124642
0.273,123152
0.274,122735
0.275,121791
0.276,120012
0.277,119729
0.278,118094
0.279,116452
0.28,115995
0.281,115109
