Valor,Indice
0,0
0.001,3
0.002,3
0.003,5
0.004,5
0.005,2
0.006,6
0.007,8
0.008,5
0.009,12
0.01,11
0.011,10
0.012,10
0.013,17
0.014,26
0.015,17
0.016,15
0.017,22
0.018,21
0.019,26
0.02,29
0.021,15
0.022,25
0.023,30
0.024,32
0.025,31
0.026,30
0.027,36
0.028,28
0.029,37
0.03,42
0.031,48
0.032,41
0.033,38
0.034,43
0.035,34
0.036,42
0.037,38
0.038,40
0.039,36
0.04,48
0.041,47
0.042,46
0.043,45
0.044,44
0.045,51
0.046,40
0.047,52
0.048,61
0.049,53
0.05,49
0.051,54
0.052,56
0.053,54
0.054,67
0.055,73
0.056,52
0.057,63
0.058,52
0.059,61
0.06,81
0.061,63
0.062,70
0.063,70
0.064,67
0.065,61
0.066,79
0.067,67
0.068,77
0.069,72
0.07,78
0.071,66
0.072,77
0.073,73
0.074,90
0.075,75
0.076,75
0.077,73
0.078,71
0.079,82
0.08,87
0.081,91
0.082,88
0.083,90
0.084,86
0.085,88
0.086,85
0.087,87
0.088,103
0.089,90
0.09,79
0.091,90
0.092,81
0.093,93
0.094,90
0.095,93
0.096,91
0.097,90
0.098,82
0.099,88
0.1,97
0.101,109
0.102,106
0.103,100
0.104,103
0.105,102
0.106,101
0.107,95
0.108,83
0.109,105
0.11,98
0.111,99
0.112,101
0.113,100
0.114,95
0.115,104
0.116,101
0.117,103
0.118,99
0.119,103
0.12,99
0.121,96
0.122,100
0.123,116
0.124,95
0.125,105
0.126,121
0.127,111
0.128,118
0.129,110
0.13,108
0.131,121
0.132,97
0.133,107
0.134,110
0.135,109
0.136,108
0.137,108
0.138,117
0.139,120
0.14,116
0.141,110
0.142,119
0.143,128
0.144,111
0.145,125
0.146,107
0.147,104
0.148,111
0.149,124
0.15,126
0.151,120
0.152,116
0.153,105
0.154,115
0.155,120
0.156,137
0.157,124
0.158,121
0.159,117
0.16,113
0.161,121
0.162,127
0.163,127
0.164,118
0.165,124
0.166,113
0.167,119
0.168,119
0.169,135
0.17,123
0.171,116
0.172,125
0.173,123
0.174,132
0.175,116
0.176,123
0.177,134
0.178,119
0.179,129
0.18,128
0.181,127
0.182,124
0.183,121
0.184,133
0.185,123
0.186,120
0.187,124
0.188,132
0.189,124
0.19,125
0.191,119
0.192,127
0.193,134
0.194,126
0.195,128
0.196,134
0.197,133
0.198,128
0.199,121
0.2,132
0.201,127
0.202,127
0.203,137
0.204,130
0.205,127
0.206,129
0.207,136
0.208,138
0.209,125
0.21,120
0.211,130
0.212,122
0.213,115
0.214,140
0.215,125
0.216,139
0.217,126
0.218,125
0.219,121
0.22,115
0.221,136
0.222,124
0.223,132
0.224,122
0.225,127
0.226,132
0.227,119
0.228,128
0.229,128
0.23,121
0.231,124
0.232,126
0.233,140
0.234,135
0.235,132
0.236,135
0.237,118
0.238,135
0.239,139
0.24,132
0.241,129
0.242,127
0.243,126
0.244,121
0.245,123
0.246,129
0.247,117
0.248,127
0.249,127
0.25,137
0.251,122
0.252,118
0.253,134
0.254,130
0.255,128
0.256,123
0.257,126
0.258,129
0.259,129
0.26,120
0.261,124
0.262,132
0.263,126
0.264,126
0.265,128
0.266,134
0.267,123
0.268,117
0.269,123
0.27,132
0.271,129
0.272,121
0.273,127
0.274,112
0.275,125
0.276,126
0.277,120
0.278,116
0.279,126
0.28,129
0.281,138
0.282,120
0.283,126
0.284,129
0.285,104
0.286,121
0.287,129
0.288,128
0.289,105
0.29,136
0.291,121
0.292,107
0.293,122
0.294,113
0.295,119
0.296,116
0.297,120
0.298,119
0.299,117
0.3,116
0.301,103
0.302,117
0.303,122
0.304,113
0.305,117
0.306,117
0.307,117
0.308,111
0.309,111
0.31,117
0.311,108
0.312,113
0.313,113
0.314,98
0.315,111
0.316,104
0.317,110
0.318,120
0.319,105
0.32,117
0.321,107
0.322,107
0.323,117
0.324,117
0.325,113
0.326,122
0.327,111
0.328,105
0.329,110
0.33,105
0.331,119
0.332,108
0.333,109
0.334,114
0.335,116
0.336,106
0.337,92
0.338,107
0.339,113
0.34,97
0.341,125
0.342,109
0.343,104
0.344,96
0.345,101
0.346,109
0.347,112
0.348,101
0.349,124
0.35,101
0.351,105
0.352,114
0.353,120
0.354,100
0.355,113
0.356,98
0.357,98
0.358,98
0.359,91
0.36,88
0.361,98
0.362,83
0.363,78
0.364,91
0.365,85
0.366,89
0.367,98
0.368,102
0.369,113
0.37,98
0.371,86
0.372,95
0.373,84
0.374,76
0.375,103
0.376,85
0.377,104
0.378,91
0.379,99
0.38,102
0.381,85
0.382,95
0.383,82
0.384,70
0.385,80
0.386,89
0.387,77
0.388,78
0.389,73
0.39,86
0.391,81
0.392,99
0.393,73
0.394,97
0.395,82
0.396,64
0.397,82
0.398,85
0.399,71
0.4,69
0.401,87
0.402,72
0.403,81
0.404,78
0.405,78
0.406,84
0.407,68
0.408,89
0.409,84
0.41,63
0.411,85
0.412,79
0.413,70
0.414,80
0.415,72
0.416,77
0.417,70
0.418,73
0.419,85
0.42,68
0.421,66
0.422,88
0.423,83
0.424,67
0.425,79
0.426,66
0.427,58
0.428,56
0.429,70
0.43,63
0.431,85
0.432,63
0.433,63
0.434,61
0.435,54
0.436,54
0.437,64
0.438,59
0.439,52
0.44,60
0.441,47
0.442,64
0.443,64
0.444,62
0.445,53
0.446,74
0.447,56
0.448,52
0.449,46
0.45,64
0.451,45
0.452,43
0.453,69
0.454,53
0.455,49
0.456,51
0.457,52
0.458,56
0.459,51
0.46,66
0.461,55
0.462,47
0.463,58
0.464,61
0.465,45
0.466,37
0.467,46
0.468,41
0.469,43
0.47,50
0.471,47
0.472,58
0.473,43
0.474,47
0.475,41
0.476,55
0.477,47
0.478,38
0.479,53
0.48,33
0.481,39
0.482,51
0.483,53
0.484,48
0.485,41
0.486,45
0.487,42
0.488,35
0.489,49
0.49,38
0.491,43
0.492,44
0.493,41
0.494,37
0.495,35
0.496,35
0.497,31
0.498,27
0.499,48
0.5,39
0.501,54
0.502,36
0.503,31
0.504,44
0.505,39
0.506,27
0.507,40
0.508,39
0.509,33
0.51,36
0.511,30
0.512,40
0.513,23
0.514,29
0.515,30
0.516,34
0.517,32
0.518,27
0.519,20
0.52,26
0.521,37
0.522,36
0.523,27
0.524,28
0.525,25
0.526,38
0.527,20
0.528,17
0.529,28
0.53,31
0.531,28
0.532,21
0.533,18
0.534,30
0.535,30
0.536,15
0.537,28
0.538,25
0.539,19
0.54,40
0.541,25
0.542,21
0.543,24
0.544,13
0.545,29
0.546,33
0.547,20
0.548,25
