Q,CC,MaxCC
0,400,1
0.001,400,1
0.002,400,1
0.003,400,1
0.004,399,2
0.005,400,1
0.006,399,2
0.007,400,1
0.008,398,2
0.009,398,2
0.01,400,1
0.011,400,1
0.012,399,2
0.013,398,2
0.014,400,1
0.015,400,1
0.016,397,2
0.017,399,2
0.018,399,2
0.019,399,2
0.02,397,2
0.021,399,2
0.022,397,2
0.023,399,2
0.024,397,2
0.025,400,1
0.026,398,2
0.027,396,2
0.028,398,2
0.029,396,2
0.03,400,1
0.031,393,2
0.032,398,2
0.033,398,2
0.034,398,2
0.035,397,2
0.036,398,2
0.037,399,2
0.038,396,2
0.039,398,2
0.04,391,3
0.041,399,2
0.042,397,2
0.043,397,2
0.044,394,2
0.045,394,2
0.046,394,3
0.047,397,2
0.048,398,2
0.049,399,2
0.05,399,2
0.051,394,2
0.052,396,2
0.053,396,2
0.054,396,2
0.055,397,2
0.056,397,2
0.057,395,3
0.058,399,2
0.059,397,2
0.06,395,3
0.061,393,2
0.062,394,2
0.063,398,2
0.064,393,2
0.065,396,2
0.066,393,2
0.067,397,2
0.068,396,2
0.069,394,2
0.07,391,2
0.071,390,2
0.072,397,2
0.073,395,2
0.074,397,2
0.075,395,2
0.076,397,2
0.077,396,2
0.078,392,2
0.079,395,2
0.08,399,2
0.081,397,2
0.082,394,2
0.083,388,3
0.084,393,2
0.085,397,2
0.086,397,2
0.087,396,2
0.088,396,2
0.089,389,3
0.09,394,2
0.091,390,3
0.092,391,2
0.093,396,2
0.094,395,2
0.095,389,2
0.096,396,2
0.097,392,2
0.098,394,3
0.099,394,2
0.1,393,2
0.101,397,2
0.102,393,2
0.103,392,2
0.104,388,3
0.105,391,2
0.106,393,3
0.107,396,2
0.108,391,2
0.109,397,2
0.11,394,2
0.111,397,2
0.112,389,2
0.113,394,2
0.114,395,2
0.115,397,2
0.116,390,2
0.117,393,2
0.118,393,3
0.119,393,2
0.12,395,2
0.121,393,3
0.122,390,3
0.123,394,2
0.124,388,3
0.125,390,2
0.126,392,3
0.127,386,3
0.128,394,3
0.129,392,3
0.13,390,2
0.131,388,3
0.132,388,2
0.133,388,2
0.134,389,2
0.135,386,3
0.136,384,4
